Ckey,Call_Num,Barcode,Druid,Purl,Title
4540802,G7823 .F8 S50 .C51 8930-IV,36105024050432,qq725py7881,https://purl.stanford.edu/qq725py7881,Fujian sheng
4540802,G7823 .F8 S50 .C51 8931-I,36105024048048,qp882st9641,https://purl.stanford.edu/qp882st9641,Fujian sheng
4540802,G7823 .F8 S50 .C51 8931-II,36105024048030,zq144ps9225,https://purl.stanford.edu/zq144ps9225,Fujian sheng
4540802,G7823 .F8 S50 .C51 8931-III,36105024048014,pt848bq9997,https://purl.stanford.edu/pt848bq9997,Fujian sheng
4540802,G7823 .F8 S50 .C51 8931-IV,36105024048089,bp170jv5993,https://purl.stanford.edu/bp170jv5993,Fujian sheng
4540802,G7823 .F8 S50 .C51 8932-III,36105024048097,px227qd5046,https://purl.stanford.edu/px227qd5046,Fujian sheng
4540802,G7823 .F8 S50 .C51 8933-I,36105024048113,vs285yk8398,https://purl.stanford.edu/vs285yk8398,Fujian sheng
4540802,G7823 .F8 S50 .C51 8933-III,36105024051059,dq560xg6282,https://purl.stanford.edu/dq560xg6282,Fujian sheng
4540802,G7823 .F8 S50 .C51 8933-IV,36105024051042,cp835yx7710,https://purl.stanford.edu/cp835yx7710,Fujian sheng
4540802,G7823 .F8 S50 .C51 8934-II,36105024051034,fr476jx2228,https://purl.stanford.edu/fr476jx2228,Fujian sheng
4540802,G7823 .F8 S50 .C51 8934-III,36105024051067,gp887dh6609,https://purl.stanford.edu/gp887dh6609,Fujian sheng
